Asset Name;Model;Model No.;Category;Manufacturer;Serial;Purchased;Location;Checked Out;Type;Username;Status;Created At;Updated at;Notes;MAC Adress;Type utilisation;Propriété SI;Propriété;Date fin garantie
0230-159-01;OptiPlex;3060;Bureau;DELL INC.;GWJSHQ2;9/16/2018 0:00;023 - Crifa;023 - Crifa;location;;Distribué (deployed);2/18/2019 15:04;8/4/2020 11:03;modifie PC par TS;54BF64777858;Lab Fix;;;
023O-159-02;OptiPlex;3060;Bureau;DELL INC.;GWJRHQ2;9/16/2018 0:00;023 - Crifa;023 - Crifa;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:36;mise a jour du nom et de la date d'achat par script;54BF6477785D;Lab Fix;;;
023O-160-01;OptiPlex;3060;Bureau;DELL INC.;GWJTHQ2;9/16/2018 0:00;023 - Crifa;023 - Crifa;location;;Distribué (deployed);2/18/2019 15:04;6/22/2023 10:06;mise a jour du nom et de la date d'achat par script;54BF64777842;Lab Fix;;;
023O-160-02;OptiPlex;3060;Bureau;DELL INC.;GWJVHQ2;9/16/2018 0:00;023 - Crifa;023 - Crifa;location;;Distribué (deployed);2/18/2019 15:04;6/22/2023 10:16;mise a jour du nom et de la date d'achat par script;54BF647773B3;Lab Fix;;;
039P-ORTHO-001;Latitude;5480;Portable;DELL INC.;FJZSVP2;6/13/2018 0:00;097 - Centre de Service de Coaticook ;;;;Retiré (archived);2/18/2019 15:04;5/2/2023 8:38;mise a jour du nom et de la date d'achat par script;1065305D1E3E;Enseignant;;;
032P-CH01-001;Latitude;3380;Portable;DELL INC.;2CP6DL2;6/20/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:39;mise a jour du nom et de la date d'achat par script;544810b9a203;Lab Chariot / Mobile;;;
032P-CH01-002;Latitude;3380;Portable;DELL INC.;3CP6DL2;6/20/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;2/11/2022 15:16;mise a jour du nom et de la date d'achat par script;544810b9a8b7;Lab Chariot / Mobile;;;
032P-CH01-003;Latitude;3380;Portable;DELL INC.;4CP6DL2;6/20/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;2/11/2022 15:13;mise a jour du nom et de la date d'achat par script;544810b9a8b5;Lab Chariot / Mobile;;;
032P-CH01-004;Latitude;3380;Portable;DELL INC.;1CP6DL2;6/20/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:31;mise a jour du nom et de la date d'achat par script;544810b9a201;Lab Chariot / Mobile;;;
032P-CH01-005;Latitude;3380;Portable;DELL INC.;51KJ0P2;10/2/2018 0:00;032 - Sancta-Maria;032 - Sancta-Maria;location;;Distribué (deployed);2/18/2019 15:04;9/8/2021 15:45;mise a jour du nom et de la date d'achat par script;544810DA108D;Lab Chariot / Mobile;;;
